Education Qualification,Subject Expertise,Teaching Years,Student Performance,Attendance,Courses Previously Taught,Seminars Attended,Research Interests,Learning Style,Certifications,Teaching Methodology,Future Courses,Age,Gender,University Type,Publication Count,Student Feedback Score
PhD,Computer Science,29,3.31,59,"Cybersecurity, Data Structures, Software Engineering, Algorithms","Cybersecurity Trends in Computer Science, Data Science in Computer Science",Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,"Operating Systems, Artificial Intelligence",85,Non-Binary,State University,8,4.7
Bachelors,Computer Science,2,3.52,61,"Data Science, Data Structures, Artificial Intelligence, Operating Systems","Cybersecurity Trends in Computer Science, Data Science in Computer Science, Cloud Innovations in Computer Science","Operating Systems, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,"Machine Learning, Operating Systems",34,Male,Private University,0,4.7
PhD,Computer Science,26,4.0,94,"Software Engineering, Artificial Intelligence, Data Structures","Data Science in Computer Science, Cybersecurity Trends in Computer Science, AI in Computer Science","Operating Systems, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Machine Learning, Data Structures",84,Non-Binary,State University,29,3.3
Masters,Information Technology,11,4.0,100,"Blockchain, IoT","Data Science in Information Technology, AI in Information Technology",Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Big Data,48,Non-Binary,State University,14,4.6
PhD,Computer Science,22,3.5700000000000003,97,"Artificial Intelligence, Algorithms, Software Engineering","Cybersecurity Trends in Computer Science, Data Science in Computer Science",Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,Cybersecurity,76,Male,Private University,20,4.6
PhD,Computer Science,28,3.5300000000000002,87,"Operating Systems, Algorithms",AI in Computer Science,"Machine Learning, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,Machine Learning,80,Male,State University,26,3.5
PhD,Information Technology,24,3.29,59,"Web Development, Cloud Computing, Database Systems, Blockchain","AI in Information Technology, Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology",Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,Big Data,63,Male,Private University,19,4.9
Bachelors,Information Technology,7,3.56,94,"Blockchain, Web Development, Network Security, IT Project Management",Data Science in Information Technology,"Web Development, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,IoT,35,Non-Binary,Private University,0,4.3
PhD,Information Technology,29,4.0,96,"Network Security, Database Systems, Blockchain, Web Development","AI in Information Technology, Cybersecurity Trends in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,"IoT, IT Project Management",87,Non-Binary,Private University,14,4.9
Bachelors,Computer Science,7,3.44,85,"Machine Learning, Software Engineering, Algorithms, Data Science",Cybersecurity Trends in Computer Science,"Cybersecurity, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Machine Learning,37,Female,Private University,0,5.0
Bachelors,Information Technology,7,3.1799999999999997,65,"Web Development, IoT","Cloud Innovations in Information Technology, Data Science in Information Technology","Web Development, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,"Blockchain, IoT",30,Female,Private University,2,4.8
Masters,Computer Science,17,4.0,76,"Software Engineering, Data Structures, Cybersecurity, Operating Systems",Cybersecurity Trends in Computer Science,"Software Engineering, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Data Structures, Software Engineering",44,Male,State University,0,4.5
PhD,Computer Science,30,3.71,94,"Artificial Intelligence, Operating Systems, Algorithms",Data Science in Computer Science,Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,Data Structures,69,Male,State University,9,4.4
PhD,Computer Science,29,3.4299999999999997,86,"Cybersecurity, Artificial Intelligence",Cybersecurity Trends in Computer Science,Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Data Science,71,Non-Binary,Open University,20,3.3
Bachelors,Information Technology,6,3.5,99,"IT Project Management, Web Development, Big Data, Network Security","AI in Information Technology, Cloud Innovations in Information Technology",Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,Network Security,33,Non-Binary,Open University,4,3.4
PhD,Computer Science,18,4.0,100,"Software Engineering, Artificial Intelligence, Cybersecurity, Operating Systems","Cloud Innovations in Computer Science, Data Science in Computer Science","Machine Learning, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,"Cybersecurity, Algorithms",67,Non-Binary,Open University,5,3.5
Bachelors,Computer Science,6,4.0,97,"Artificial Intelligence, Software Engineering","Data Science in Computer Science, Cybersecurity Trends in Computer Science","Machine Learning, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Software Engineering, Algorithms",31,Female,State University,0,4.6
PhD,Information Technology,19,3.22,62,"Network Security, Web Development",Cloud Innovations in Information Technology,"Database Systems, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,"Blockchain, Database Systems",68,Male,Private University,7,4.0
PhD,Computer Science,14,3.6500000000000004,70,"Algorithms, Artificial Intelligence","Cybersecurity Trends in Computer Science, AI in Computer Science, Data Science in Computer Science","Algorithms, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,Machine Learning,54,Female,Community College,28,4.7
Bachelors,Computer Science,10,3.6,95,"Artificial Intelligence, Data Science","AI in Computer Science, Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science",Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,"Algorithms, Software Engineering",33,Male,Open University,0,3.8
Masters,Computer Science,10,3.39,93,"Data Structures, Machine Learning, Data Science","Data Science in Computer Science, Cloud Innovations in Computer Science","Operating Systems, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,Cybersecurity,49,Non-Binary,Open University,2,3.1
PhD,Computer Science,24,3.58,77,"Algorithms, Operating Systems","AI in Computer Science, Data Science in Computer Science, Cybersecurity Trends in Computer Science",Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Operating Systems,76,Male,Open University,21,3.9
PhD,Information Technology,20,3.71,53,"Database Systems, IT Project Management, Network Security, Blockchain",Cloud Innovations in Information Technology,"Blockchain, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Network Security,67,Male,State University,10,3.2
PhD,Computer Science,16,3.29,54,"Software Engineering, Machine Learning",AI in Computer Science,Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Machine Learning,75,Male,Open University,10,3.3
Bachelors,Computer Science,4,3.92,64,"Software Engineering, Machine Learning, Algorithms",Cloud Innovations in Computer Science,"Algorithms, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Machine Learning,36,Male,State University,1,3.5
Bachelors,Computer Science,3,3.21,83,"Software Engineering, Data Science, Cybersecurity","AI in Computer Science, Data Science in Computer Science","Artificial Intelligence, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,"Artificial Intelligence, Algorithms",35,Female,Open University,0,4.9
PhD,Computer Science,18,4.0,96,"Data Science, Software Engineering","Cloud Innovations in Computer Science, Data Science in Computer Science, Cybersecurity Trends in Computer Science",Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Algorithms,76,Female,Private University,10,4.9
PhD,Information Technology,10,3.96,83,"Web Development, IoT","AI in Information Technology, Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology",Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Network Security,53,Male,State University,10,3.6
Bachelors,Information Technology,7,3.88,54,"Web Development, Big Data, IoT","AI in Information Technology, Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,"Blockchain, Network Security",35,Male,Private University,5,3.6
PhD,Information Technology,18,3.94,64,"Big Data, IT Project Management, Network Security, Cloud Computing",AI in Information Technology,"Web Development, Cloud Computing","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,"Web Development, Database Systems",67,Male,Open University,5,4.5
PhD,Computer Science,16,3.3,55,"Machine Learning, Data Structures, Algorithms","Cloud Innovations in Computer Science, Data Science in Computer Science, Cybersecurity Trends in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Algorithms,53,Non-Binary,Private University,29,4.9
Masters,Computer Science,14,3.5,54,"Software Engineering, Artificial Intelligence","Cloud Innovations in Computer Science, Data Science in Computer Science","Software Engineering, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Data Science, Operating Systems",59,Male,Community College,9,4.5
Bachelors,Computer Science,1,3.59,58,"Machine Learning, Operating Systems, Algorithms, Data Science","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science",Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Artificial Intelligence, Software Engineering",25,Male,Open University,2,4.6
PhD,Computer Science,24,3.38,73,"Algorithms, Machine Learning, Cybersecurity, Data Science","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science, Data Science in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Operating Systems,82,Female,State University,14,4.5
PhD,Information Technology,14,3.23,60,"Cloud Computing, Web Development, IT Project Management, Database Systems","Cloud Innovations in Information Technology, AI in Information Technology","Network Security, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Blockchain,65,Female,Open University,18,4.3
PhD,Computer Science,11,3.64,54,"Data Structures, Software Engineering, Cybersecurity, Machine Learning",AI in Computer Science,Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Data Science, Algorithms",62,Male,Community College,17,3.2
Masters,Computer Science,10,3.5900000000000003,89,"Algorithms, Operating Systems","Data Science in Computer Science, AI in Computer Science",Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,"Machine Learning, Data Structures",48,Female,State University,14,4.6
Bachelors,Computer Science,1,4.0,92,"Software Engineering, Operating Systems, Data Science","Cloud Innovations in Computer Science, AI in Computer Science",Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Artificial Intelligence,23,Male,Community College,2,4.2
Bachelors,Computer Science,1,3.69,85,"Software Engineering, Data Structures, Algorithms, Artificial Intelligence",Cybersecurity Trends in Computer Science,"Operating Systems, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Algorithms,34,Female,Community College,1,3.2
Masters,Information Technology,15,3.5500000000000003,93,"IoT, IT Project Management","Data Science in Information Technology, Cybersecurity Trends in Information Technology, AI in Information Technology","IT Project Management, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Web Development, IT Project Management",60,Female,Open University,4,4.6
Bachelors,Information Technology,9,3.09,54,"Database Systems, Blockchain","Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology, AI in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Blockchain,32,Female,State University,5,4.1
